iter	Passed	Remaining
0	1	903
1	3	842
2	4	770
3	6	776
4	8	802
5	9	781
6	10	756
7	12	738
8	13	722
9	14	708
10	15	696
11	16	685
12	18	677
13	19	671
14	20	664
15	21	658
16	22	653
17	24	647
18	25	644
19	26	639
20	27	635
21	29	631
22	30	627
23	31	623
24	32	621
25	33	618
26	35	615
27	36	612
28	37	610
29	38	608
30	40	606
31	41	606
32	42	605
33	44	603
34	45	602
35	46	600
36	47	598
37	49	596
38	50	595
39	51	593
40	52	591
41	54	589
42	55	587
43	56	586
44	57	584
45	59	583
46	60	581
47	61	580
48	63	579
49	64	578
50	65	578
51	66	577
52	68	575
53	69	573
54	70	571
55	72	571
56	73	569
57	74	568
58	75	567
59	77	566
60	78	564
61	79	563
62	81	562
63	82	561
64	83	559
65	84	558
66	86	557
67	87	556
68	88	555
69	90	556
70	91	554
71	93	556
72	95	556
73	96	555
74	97	554
75	99	553
76	100	553
77	101	551
78	103	550
79	104	548
80	106	549
81	107	548
82	108	546
83	110	545
84	111	544
85	112	543
86	114	541
87	115	540
88	116	538
89	117	537
90	119	536
91	120	534
92	121	533
93	123	532
94	124	530
95	125	529
96	127	529
97	128	527
98	129	526
99	131	526
100	133	526
101	134	525
102	136	524
103	137	523
104	139	523
105	140	522
106	141	520
107	143	519
108	144	518
109	146	518
110	147	517
111	148	516
112	150	515
113	151	514
114	153	512
115	154	511
116	156	510
117	157	509
118	158	508
119	160	507
120	161	506
121	163	505
122	164	505
123	166	504
124	167	502
125	169	502
126	170	501
127	172	500
128	173	499
129	175	498
130	176	497
131	178	496
132	179	495
133	180	494
134	182	493
135	183	492
136	185	491
137	186	490
138	188	489
139	189	487
140	191	487
141	192	485
142	194	484
143	195	484
144	197	483
145	198	481
146	200	480
147	201	479
148	202	478
149	204	477
150	205	475
151	207	474
152	208	473
153	209	471
154	211	470
155	212	469
156	214	467
157	215	466
158	217	465
159	218	464
160	219	463
161	221	461
162	222	460
163	224	459
164	225	458
165	227	457
166	228	455
167	230	454
168	231	453
169	232	452
170	234	450
171	235	449
172	237	448
173	238	447
174	239	445
175	241	444
176	242	442
177	244	441
178	245	440
179	246	438
180	248	437
181	249	435
182	250	434
183	252	433
184	253	431
185	254	430
186	256	428
187	257	427
188	259	426
189	260	425
190	261	423
191	263	422
192	264	421
193	266	419
194	267	418
195	268	416
196	270	415
197	271	414
198	273	412
199	274	411
200	275	410
201	277	409
202	278	407
203	280	406
204	281	405
205	282	403
206	284	402
207	285	401
208	287	400
209	288	398
210	290	397
211	291	396
212	293	394
213	294	393
214	295	392
215	297	390
216	298	389
217	300	388
218	301	386
219	302	385
220	304	384
221	305	382
222	306	381
223	308	379
224	309	378
225	311	377
226	312	376
227	314	374
228	315	373
229	317	372
230	318	370
231	319	369
232	321	367
233	322	366
234	324	365
235	325	364
236	326	362
237	328	361
238	329	359
239	330	358
240	332	357
241	333	355
242	335	354
243	336	352
244	337	351
245	339	350
246	340	348
247	341	347
248	343	346
249	344	344
250	346	343
251	347	341
252	348	340
253	350	339
254	351	338
255	353	336
256	354	335
257	356	334
258	357	332
259	359	331
260	360	330
261	361	328
262	363	327
263	364	326
264	366	324
265	367	323
266	368	321
267	370	320
268	371	319
269	373	318
270	374	316
271	376	315
272	377	313
273	378	312
274	380	311
275	381	309
276	382	308
277	384	306
278	385	305
279	387	304
280	388	302
281	389	301
282	391	299
283	392	298
284	394	297
285	395	295
286	396	294
287	398	293
288	399	291
289	400	290
290	402	288
291	403	287
292	405	286
293	406	284
294	408	283
295	409	282
296	411	280
297	412	279
298	413	278
299	415	276
300	416	275
301	418	274
302	419	272
303	421	271
304	422	270
305	424	268
306	425	267
307	426	266
308	428	264
309	429	263
310	431	262
311	432	260
312	434	259
313	435	258
314	437	256
315	439	255
316	440	254
317	442	252
318	443	251
319	445	250
320	446	248
321	448	247
322	449	246
323	450	244
324	452	243
325	453	242
326	455	240
327	456	239
328	458	238
329	459	236
330	460	235
331	462	233
332	463	232
333	465	231
334	466	229
335	467	228
336	469	227
337	470	225
338	472	224
339	473	222
340	475	221
341	476	220
342	478	218
343	480	217
344	481	216
345	483	215
346	484	213
347	486	212
348	488	211
349	489	209
350	491	208
351	493	207
352	494	205
353	496	204
354	497	203
355	499	201
356	500	200
357	502	199
358	503	197
359	505	196
360	506	195
361	508	193
362	509	192
363	511	191
364	512	189
365	514	188
366	515	186
367	517	185
368	518	184
369	520	182
370	521	181
371	522	179
372	524	178
373	525	177
374	527	175
375	528	174
376	529	172
377	531	171
378	532	170
379	534	168
380	535	167
381	536	165
382	538	164
383	539	163
384	540	161
385	542	160
386	543	158
387	545	157
388	546	155
389	548	154
390	549	153
391	550	151
392	552	150
393	553	148
394	555	147
395	556	146
396	557	144
397	559	143
398	560	141
399	561	140
400	563	139
401	564	137
402	565	136
403	567	134
404	568	133
405	569	131
406	570	130
407	572	129
408	573	127
409	574	126
410	576	124
411	577	123
412	578	121
413	579	120
414	581	119
415	582	117
416	583	116
417	585	114
418	586	113
419	587	111
420	589	110
421	590	109
422	591	107
423	593	106
424	594	104
425	595	103
426	596	102
427	598	100
428	599	99
429	600	97
430	602	96
431	603	94
432	604	93
433	605	92
434	607	90
435	608	89
436	609	87
437	611	86
438	612	85
439	613	83
440	614	82
441	616	80
442	617	79
443	618	78
444	619	76
445	621	75
446	622	73
447	623	72
448	625	71
449	626	69
450	627	68
451	629	66
452	630	65
453	631	63
454	632	62
455	634	61
456	635	59
457	636	58
458	638	57
459	639	55
460	640	54
461	641	52
462	643	51
463	644	50
464	645	48
465	646	47
466	648	45
467	649	44
468	650	43
469	652	41
470	653	40
471	654	38
472	656	37
473	657	36
474	658	34
475	659	33
476	661	31
477	662	30
478	663	29
479	664	27
480	666	26
481	667	24
482	668	23
483	670	22
484	671	20
485	672	19
486	673	17
487	675	16
488	676	15
489	677	13
490	679	12
491	680	11
492	681	9
493	683	8
494	684	6
495	686	5
496	687	4
497	688	2
498	690	1
499	691	0
